# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0 0 1 400000 1 1 46430.988 0.35876035 0 -1.2380586 0.25 -0.5 0 -0.98805862 0 0 0 0 0 -1.2380586 0.81320756 8.1718261 0.14250665 0.83375607 0.30380522 0.00032733165 0 28195.534
1.454819e-06 1.454819e-06 1 400003 0.99991711 0.99715612 46430.988 0.35876035 4.2618254 -1.2368879 0.24858887 -0.49859568 0 -0.98688455 0 3.4936756e-06 0 0 0 -1.2368879 0.8158328 8.1718261 0.14250665 0.83375607 0.30380522 0 0 28195.533
4.4323088e-06 2.9774899e-06 2 399996 0.99978451 0.99504194 41837.898 0.3616956 7.7687324 -1.2344565 0.24744675 -0.49735944 0 -0.98455011 0 6.2671453e-06 0 0 0 -1.2344565 0.81792088 6.4317208 0.15967274 0.82877886 0.31011768 0 0 26370.586
7.1527316e-06 2.7204228e-06 3 399991 0.99965987 0.99388655 43987.806 0.36204659 5.9957148 -1.2321927 0.24679682 -0.49662977 0 -0.98237304 0 1.3990374e-05 -6.6891403e-07 0 0 -1.2321927 0.81771882 6.7981873 0.15466161 0.82532197 0.30734442 0 0 26910.075
9.8640153e-06 2.7112837e-06 4 399987 0.99953357 0.99940454 42513.242 0.36214109 7.2720014 -1.2298925 0.2494457 -0.49918865 0 -0.98016689 0 1.8024667e-05 -6.6891403e-07 0 0 -1.2298925 0.80989873 6.4933615 0.15881133 0.82824835 0.30226707 0 0 24720.847
1.1919893e-05 2.0558776e-06 5 399984 0.9994324 1.0030438 53173.287 0.35794908 7.4500161 -1.2281174 0.25120844 -0.50089225 0 -0.9784516 0 1.866418e-05 -6.6891403e-07 0 0 -1.2281174 0.81684707 9.2932043 0.13330365 0.83170456 0.2641708 0 0 21373.921
1.4537658e-05 2.6177646e-06 6 399978 0.99929761 0.99722713 44514.871 0.36155034 7.6289044 -1.225815 0.24821096 -0.49780226 0 -0.9762455 0 2.244527e-05 -6.6891403e-07 0 0 -1.225815 0.81576775 6.9776925 0.15384961 0.83175731 0.31690367 0 0 29976.479
1.6923427e-05 2.3857696e-06 7 399974 0.99913993 0.99622485 47307.847 0.36391772 10.088343 -1.2236745 0.24763952 -0.49715588 0 -0.97418687 0 2.9382936e-05 -6.6891403e-07 0 0 -1.2236745 0.81609628 6.9788512 0.1530529 0.82751874 0.30468484 0 0 27763.621
1.7632166e-05 7.0873869e-07 8 399976 0.9991033 0.99550131 42366.332 0.36773694 7.8743941 -1.2230327 0.24729752 -0.49683012 0 -0.97353965 0 4.0254583e-05 -6.6891403e-07 0 0 -1.2230327 0.81474319 5.6942759 0.16925501 0.82661843 0.32628808 0 0 29594.615
2.0720099e-05 3.0879327e-06 9 399973 0.9989488 0.99576786 41746.191 0.36495209 7.9727768 -1.2201807 0.24731391 -0.49673005 0 -0.97080564 0 4.1765133e-05 -6.6891403e-07 0 0 -1.2201807 0.8126567 6.3530293 0.15965426 0.82359795 0.31425372 0 0 26653.276
