# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
0.000000000e+00 3.135099e-02 4.007720e-02 4.745182e-02 5.447245e-02 6.042985e-02 6.197469e-02 8.890494e-02 1.048792e-01 1.190342e-01 1.304900e-01 1.352091e-01 1.952212e-01 2.324333e-01 2.663818e-01 2.967089e-01 3.106748e-01 4.375220e-01 5.525189e-01 6.734363e-01 8.132073e-01 9.797359e-01 1.182232e+00 1.444557e+00 1.881042e+00 2.979906e+00 
1.454818974e-06 3.135702e-02 4.044700e-02 4.955687e-02 5.572482e-02 5.865339e-02 6.196999e-02 8.812738e-02 1.001482e-01 1.120908e-01 1.230192e-01 1.285909e-01 1.932668e-01 2.339827e-01 2.682861e-01 2.992408e-01 3.123106e-01 4.377106e-01 5.549741e-01 6.777281e-01 8.158249e-01 9.754751e-01 1.180524e+00 1.457981e+00 1.894685e+00 2.989501e+00 
4.432308835e-06 3.100837e-02 4.255828e-02 5.106010e-02 5.505541e-02 5.646229e-02 5.804179e-02 8.620127e-02 1.030499e-01 1.169434e-01 1.271080e-01 1.310888e-01 1.935881e-01 2.356745e-01 2.692923e-01 3.009521e-01 3.131832e-01 4.346836e-01 5.580074e-01 6.835006e-01 8.179170e-01 9.794933e-01 1.188165e+00 1.459953e+00 1.876727e+00 2.997480e+00 
7.152731612e-06 2.986159e-02 4.295713e-02 5.202851e-02 5.849559e-02 6.169731e-02 6.416605e-02 8.791067e-02 1.067511e-01 1.204091e-01 1.310671e-01 1.367912e-01 1.939335e-01 2.349346e-01 2.690120e-01 2.980241e-01 3.136583e-01 4.354032e-01 5.552815e-01 6.789615e-01 8.177150e-01 9.821542e-01 1.189670e+00 1.462172e+00 1.879618e+00 2.980070e+00 
9.864015320e-06 3.267776e-02 4.732912e-02 5.512656e-02 5.926946e-02 6.233330e-02 6.529612e-02 8.768069e-02 1.054110e-01 1.161759e-01 1.272602e-01 1.332031e-01 1.900763e-01 2.293555e-01 2.631475e-01 2.964301e-01 3.110304e-01 4.376653e-01 5.593932e-01 6.792754e-01 8.098947e-01 9.706232e-01 1.184397e+00 1.447998e+00 1.885522e+00 2.978484e+00 
1.191989296e-05 3.007020e-02 4.363111e-02 5.024076e-02 5.367920e-02 5.945693e-02 6.122543e-02 8.709281e-02 1.009207e-01 1.128919e-01 1.176682e-01 1.226462e-01 1.929949e-01 2.327238e-01 2.697636e-01 2.972352e-01 3.101578e-01 4.338716e-01 5.565916e-01 6.795673e-01 8.168415e-01 9.731808e-01 1.169291e+00 1.435349e+00 1.858705e+00 2.900855e+00 
1.453765760e-05 2.899823e-02 4.157756e-02 5.015516e-02 5.520956e-02 6.077444e-02 6.297163e-02 8.819847e-02 1.052623e-01 1.173217e-01 1.281986e-01 1.332983e-01 1.933419e-01 2.389597e-01 2.703695e-01 2.994057e-01 3.135065e-01 4.377612e-01 5.577045e-01 6.781820e-01 8.157626e-01 9.766603e-01 1.176661e+00 1.452190e+00 1.877659e+00 2.955759e+00 
1.692342724e-05 3.277070e-02 4.351090e-02 5.049087e-02 5.695968e-02 6.261215e-02 6.436102e-02 8.826445e-02 1.051270e-01 1.184264e-01 1.277424e-01 1.337562e-01 1.988586e-01 2.374932e-01 2.723574e-01 3.032417e-01 3.167764e-01 4.426419e-01 5.585984e-01 6.804359e-01 8.160933e-01 9.756005e-01 1.175077e+00 1.443958e+00 1.880956e+00 2.973281e+00 
1.763216593e-05 3.042363e-02 4.749949e-02 5.478329e-02 5.479652e-02 5.629331e-02 5.817820e-02 8.746969e-02 1.008271e-01 1.124432e-01 1.238631e-01 1.297606e-01 1.929526e-01 2.332942e-01 2.683329e-01 2.952820e-01 3.094580e-01 4.375609e-01 5.581221e-01 6.767047e-01 8.147382e-01 9.829699e-01 1.186280e+00 1.454324e+00 1.882829e+00 2.988538e+00 
2.072009864e-05 3.106472e-02 4.221939e-02 5.101784e-02 5.843050e-02 6.173629e-02 6.324581e-02 9.219914e-02 1.062187e-01 1.137700e-01 1.242067e-01 1.282107e-01 1.946903e-01 2.327858e-01 2.694000e-01 2.991303e-01 3.146412e-01 4.392615e-01 5.562317e-01 6.793648e-01 8.126513e-01 9.797428e-01 1.180468e+00 1.460572e+00 1.896384e+00 2.974888e+00 
2.247877954e-05 3.407187e-02 4.314336e-02 4.806166e-02 5.505885e-02 5.785062e-02 6.121072e-02 8.574909e-02 1.020578e-01 1.157509e-01 1.261879e-01 1.299716e-01 1.964222e-01 2.386344e-01 2.711166e-01 3.010400e-01 3.161121e-01 4.404892e-01 5.588153e-01 6.831459e-01 8.234160e-01 9.803979e-01 1.179887e+00 1.447405e+00 1.884479e+00 2.967989e+00 
2.501346303e-05 2.601986e-02 4.209539e-02 4.462355e-02 5.211031e-02 5.748573e-02 5.935823e-02 8.739051e-02 1.054268e-01 1.134276e-01 1.236002e-01 1.278379e-01 1.922736e-01 2.368411e-01 2.725300e-01 3.049763e-01 3.197133e-01 4.412652e-01 5.578316e-01 6.838178e-01 8.226504e-01 9.801521e-01 1.187935e+00 1.463646e+00 1.881366e+00 2.957830e+00 
2.654144085e-05 2.349155e-02 3.725442e-02 4.489831e-02 5.227144e-02 5.605082e-02 5.971876e-02 8.606238e-02 1.044072e-01 1.155437e-01 1.225887e-01 1.259822e-01 1.899239e-01 2.328094e-01 2.709338e-01 3.010123e-01 3.163755e-01 4.404286e-01 5.548679e-01 6.755495e-01 8.177022e-01 9.896684e-01 1.191108e+00 1.467003e+00 1.893375e+00 2.946394e+00 
2.931046604e-05 3.062173e-02 4.218092e-02 4.588993e-02 5.260933e-02 5.866803e-02 6.008677e-02 8.595184e-02 9.810462e-02 1.113499e-01 1.251337e-01 1.305671e-01 1.901830e-01 2.314836e-01 2.629340e-01 2.944227e-01 3.086305e-01 4.342110e-01 5.537278e-01 6.772855e-01 8.154789e-01 9.779508e-01 1.180481e+00 1.465909e+00 1.892135e+00 2.965656e+00 
3.128700257e-05 3.248771e-02 4.381706e-02 4.972677e-02 5.074481e-02 5.574050e-02 5.786941e-02 8.293900e-02 9.749852e-02 1.116508e-01 1.224507e-01 1.287949e-01 1.883302e-01 2.298886e-01 2.624503e-01 2.946166e-01 3.074358e-01 4.364651e-01 5.566940e-01 6.740783e-01 8.091762e-01 9.748601e-01 1.178458e+00 1.453487e+00 1.891648e+00 2.990652e+00 
3.248537400e-05 3.022749e-02 4.381468e-02 5.054683e-02 5.653589e-02 5.906587e-02 6.088813e-02 8.293429e-02 9.609126e-02 1.099102e-01 1.165488e-01 1.201498e-01 1.807172e-01 2.253938e-01 2.603909e-01 2.946957e-01 3.082829e-01 4.370042e-01 5.505079e-01 6.703087e-01 8.069915e-01 9.731427e-01 1.174294e+00 1.457317e+00 1.897227e+00 3.021891e+00 
3.636828291e-05 2.784867e-02 3.466828e-02 4.485177e-02 5.091478e-02 5.506033e-02 5.507182e-02 7.812380e-02 9.371734e-02 1.073547e-01 1.193682e-01 1.232235e-01 1.884345e-01 2.326158e-01 2.691675e-01 2.992784e-01 3.140346e-01 4.373358e-01 5.565870e-01 6.766019e-01 8.103256e-01 9.706046e-01 1.183626e+00 1.455001e+00 1.877982e+00 2.994332e+00 
3.915737630e-05 2.610806e-02 3.659797e-02 4.524656e-02 4.940726e-02 5.058746e-02 5.431354e-02 8.418214e-02 9.894717e-02 1.127214e-01 1.230756e-01 1.255604e-01 1.919244e-01 2.316761e-01 2.666581e-01 2.967799e-01 3.121547e-01 4.329251e-01 5.547459e-01 6.728147e-01 8.118006e-01 9.709908e-01 1.167319e+00 1.450789e+00 1.866506e+00 2.973171e+00 
4.021976618e-05 1.928410e-02 3.763417e-02 4.408050e-02 5.089908e-02 5.517155e-02 5.727577e-02 8.277550e-02 9.741888e-02 1.082364e-01 1.172299e-01 1.194420e-01 1.876822e-01 2.331418e-01 2.691765e-01 2.993247e-01 3.121693e-01 4.409488e-01 5.529649e-01 6.749727e-01 8.144942e-01 9.773400e-01 1.187774e+00 1.461266e+00 1.899199e+00 2.990259e+00 
4.276323699e-05 3.287855e-02 4.169654e-02 5.036249e-02 5.652880e-02 6.131374e-02 6.264110e-02 7.959500e-02 9.533107e-02 1.115524e-01 1.231926e-01 1.291814e-01 1.891395e-01 2.319907e-01 2.627873e-01 2.941592e-01 3.089212e-01 4.331724e-01 5.506258e-01 6.725361e-01 8.096592e-01 9.754331e-01 1.173126e+00 1.450007e+00 1.876351e+00 3.014628e+00 
4.421274823e-05 2.859659e-02 4.117211e-02 4.642837e-02 5.028744e-02 5.596924e-02 5.773631e-02 8.486737e-02 1.012738e-01 1.141963e-01 1.263010e-01 1.295633e-01 1.918242e-01 2.340890e-01 2.683020e-01 2.968226e-01 3.110483e-01 4.379922e-01 5.585611e-01 6.781362e-01 8.175422e-01 9.822499e-01 1.191461e+00 1.466607e+00 1.887303e+00 3.008003e+00 
4.589330966e-05 2.984682e-02 4.103516e-02 4.701526e-02 4.945890e-02 5.340858e-02 5.346797e-02 8.174296e-02 9.655091e-02 1.100129e-01 1.233001e-01 1.300155e-01 1.944848e-01 2.316749e-01 2.641834e-01 2.973673e-01 3.111668e-01 4.361940e-01 5.527162e-01 6.765863e-01 8.114332e-01 9.793580e-01 1.182366e+00 1.452182e+00 1.883036e+00 3.004520e+00 
4.782458919e-05 2.994523e-02 4.151229e-02 4.804168e-02 5.344675e-02 5.739240e-02 5.913140e-02 8.356933e-02 1.035142e-01 1.173073e-01 1.228746e-01 1.284958e-01 1.898329e-01 2.288555e-01 2.637760e-01 2.926755e-01 3.064506e-01 4.319312e-01 5.509447e-01 6.768769e-01 8.189896e-01 9.781078e-01 1.178434e+00 1.452036e+00 1.873809e+00 2.974171e+00 
5.035563986e-05 2.471077e-02 3.872786e-02 4.707843e-02 4.808252e-02 5.388582e-02 5.500761e-02 7.596144e-02 9.183036e-02 1.034662e-01 1.159421e-01 1.187948e-01 1.823872e-01 2.273381e-01 2.619491e-01 2.920749e-01 3.077196e-01 4.359239e-01 5.517383e-01 6.774965e-01 8.126976e-01 9.679819e-01 1.180878e+00 1.463527e+00 1.882593e+00 3.004968e+00 
5.299597443e-05 2.613405e-02 3.991431e-02 4.636923e-02 4.914948e-02 5.292168e-02 5.539780e-02 8.326409e-02 1.005125e-01 1.086303e-01 1.200033e-01 1.248415e-01 1.872415e-01 2.295381e-01 2.656085e-01 2.946341e-01 3.079256e-01 4.372596e-01 5.575666e-01 6.767191e-01 8.143720e-01 9.813443e-01 1.179350e+00 1.454645e+00 1.878958e+00 3.017220e+00 
5.581667234e-05 2.527290e-02 3.815103e-02 4.561937e-02 4.822116e-02 5.445887e-02 5.764931e-02 8.622215e-02 9.828187e-02 1.106453e-01 1.221080e-01 1.278156e-01 1.920340e-01 2.320132e-01 2.648417e-01 2.985087e-01 3.115606e-01 4.386947e-01 5.579069e-01 6.826048e-01 8.166954e-01 9.785461e-01 1.181841e+00 1.460492e+00 1.889077e+00 3.004526e+00 
5.799163607e-05 3.225134e-02 4.327628e-02 5.055093e-02 5.572835e-02 6.034210e-02 6.176321e-02 8.315214e-02 9.856675e-02 1.119185e-01 1.204487e-01 1.246925e-01 1.901325e-01 2.331474e-01 2.664417e-01 2.968023e-01 3.105348e-01 4.383245e-01 5.526385e-01 6.771067e-01 8.138804e-01 9.809352e-01 1.187019e+00 1.450315e+00 1.887752e+00 2.989803e+00 
6.024681459e-05 2.918187e-02 4.381521e-02 5.123613e-02 5.771499e-02 6.039300e-02 6.058211e-02 8.461517e-02 1.013753e-01 1.150626e-01 1.238366e-01 1.289240e-01 1.906685e-01 2.310225e-01 2.665855e-01 2.988690e-01 3.133666e-01 4.346300e-01 5.557229e-01 6.783821e-01 8.161664e-01 9.735891e-01 1.184765e+00 1.460547e+00 1.891495e+00 3.004831e+00 
6.162232344e-05 2.678643e-02 4.145191e-02 4.984534e-02 5.458062e-02 5.888736e-02 6.082444e-02 8.032446e-02 9.093053e-02 1.084395e-01 1.182803e-01 1.227460e-01 1.911243e-01 2.317484e-01 2.673262e-01 2.964678e-01 3.101767e-01 4.345385e-01 5.484717e-01 6.729176e-01 8.089687e-01 9.720574e-01 1.182281e+00 1.455893e+00 1.888612e+00 3.017265e+00 
6.239666977e-05 2.853549e-02 4.009969e-02 4.704855e-02 5.291741e-02 5.622860e-02 5.632317e-02 7.732853e-02 9.596270e-02 1.091597e-01 1.184652e-01 1.245449e-01 1.876213e-01 2.327618e-01 2.668192e-01 2.993060e-01 3.128669e-01 4.402023e-01 5.550921e-01 6.779270e-01 8.095251e-01 9.748691e-01 1.179721e+00 1.453897e+00 1.864110e+00 3.014382e+00 
6.462496851e-05 2.756599e-02 4.114180e-02 5.003645e-02 5.439069e-02 5.516770e-02 5.774314e-02 8.427733e-02 9.618588e-02 1.087270e-01 1.214633e-01 1.276345e-01 1.901991e-01 2.348786e-01 2.685235e-01 2.997267e-01 3.131277e-01 4.381785e-01 5.546820e-01 6.801496e-01 8.113468e-01 9.764381e-01 1.178453e+00 1.451751e+00 1.876761e+00 2.977661e+00 
6.768346370e-05 2.736841e-02 3.731910e-02 4.683257e-02 5.270467e-02 5.661651e-02 5.917906e-02 8.409150e-02 9.645919e-02 1.100998e-01 1.205895e-01 1.254505e-01 1.909562e-01 2.343722e-01 2.650087e-01 2.963493e-01 3.103704e-01 4.354112e-01 5.581403e-01 6.759701e-01 8.124818e-01 9.792206e-01 1.179668e+00 1.459925e+00 1.903677e+00 3.008750e+00 
